Name;Author;Price;About
Гуйюань Тянься: Восхождение фениксов;Тянься Гуйюань;834 ₽;834 ₽;Знаменитый китайский роман от популярной писательницы Тянься Гуйюань! Впервые на русском языке!
Тунсю Мосян: Благословение небожителей. Том 6;Тунсю Мосян;1 250 ₽;1 250 ₽;СКАЗАТЬ ПО ПРАВДЕ, В ЭТОМ МИРЕ НЕТ БОГОВ.
Гор А.: Кристальный пик;Young Adult. Книжный бунт. Фантастика;711 ₽;711 ₽;Рубин отдала за людей и драконов жизнь — буквально. Теперь она королева Круга и старается править мудро и милостиво, чтобы искупить грехи предков. Однако не всем по вкусу такое правление — три туата из девяти восстают, и начинается новая война. А где-то на другом конце Круга объявляется незнакомец без имени и лица... Там, где он ступает, распространяется неизвестная болезнь и умирают люди, превращаясь в пищу.
Мишина Влада: Скрижаль Исет. Грешные души;GameStory.League Of Dreamers;594 ₽;594 ₽;Девушка, что не помнит своего прошлого. Принц, пытавшийся проклясть собственного брата. Бог, однажды убивший самого Осириса. Вор, волею судеб, попавший в сплетение божественных интриг. Все они жаждут получить прощение за грехи и выжить в мире, который вот-вот рухнет под влиянием таинственной силы, приходящей с песками. А по их следам уже идёт сам Анубис, Каратель Царя Богов.
Тунсю Мосян: Благословение небожителей. Том 5;Тунсю Мосян;1 250 ₽;1 250 ₽;ОДИН ЧЕЛОВЕК. ВСЕГО ОДИН. НА САМОМ ДЕЛЕ ЭТОГО ДОСТАТОЧНО.
Мир игры Pathologic 2. Хроники второй эпидемии;Легендарные компьютерные игры. Подарочные энциклопедии;2 112 ₽;2 112 ₽;Подарок для всех любителей Pathologic 2!
Тунсю Мосян: Система «Спаси-себя-сам» для главного злодея;Тунсю Мосян;1 250 ₽;1 250 ₽;ОТ АВТОРА СУПЕРБЕСТСЕЛЛЕРА «БЛАГОСЛОВЕНИЕ НЕБОЖИТЕЛЕЙ»
Дашкевич В.: Императорский Див. Колдун Российской империи;Расследования графа Аверина;593 ₽;593 ₽;Вторая книга цикла о расследованиях графа Аверина.
Гуйюань Тянься: Владычица степей;Тянься Гуйюань;959 ₽;959 ₽;Знаменитый китайский роман популярной писательницы Тянься Гуйюань! Впервые на русском языке!
Фэйсян Цзюлу: Синий шепот. Книга 1;Хиты Китая. Фэнтези;561 ₽;561 ₽;• Знаменитый роман в жанре сянься. Цзюлу Фэйсян – одна из самых читаемых авторов в жанре фэнтези в Китае.
Сорокин Владимир Георгиевич: Наследие;Владимир Сорокин;670 ₽;670 ₽;Будущее наступило и прошло, ядерная война почти забыта, выжили не все, а тот, кто выжил, уже никогда не будет прежним. Мирный договор не привел к миру: насилие стало нормой и потребностью, терпимость к нему заразней, чем боливийский вирус.
Роберт Джордан: Колесо Времени. Книга 11. Нож сновидений;Роберт Джордан;977 ₽;977 ₽;Последняя битва не за горами. Об этом говорят знамения, повсеместно наблюдаемые людьми: на улицах городов и сел появляются ходячие мертвецы, они больше не в состоянии покоиться в земле с миром; восстают из небытия города и исчезают на глазах у людей… Все это знак того, что истончается окружающая реальность и укрепляется могущество Темного. Так говорят древние предсказания. Ранд ал’Тор, Дракон Возрожденный, скрывается в отдаленном поместье, чтобы опасность, ему грозящая, не коснулась кого-нибудь еще. Убежденный, что для Последней битвы нужно собрать как можно большее войско, он наконец решает заключить с явившимися из-за океана шончан жизненно необходимое перемирие. Илэйн, осажденная в Кэймлине, обороняет город от войск Аримиллы, претендующей на андорский трон, и одновременно ведет переговоры с представителями других знатных Домов. Эгвейн, возведенную на Престол Амерлин мятежными Айз Седай и схваченную в результате предательства, доставляют в Тар Валон, в Белую Башню. А сам лагерь противников Элайды взбудоражен таинственными убийствами, совершенными посредством Единой Силы… В настоящем издании текст романа заново отредактирован и исправлен.
Няннян Лин: Небесная собака. Спасение души несчастного. Том 1;Лин Няннян;759 ₽;759 ₽;У Чан — наследник северного клана У. Не успел он родиться, как стал для своего народа знамением, тут и там гудели: «Сребровласый господин будет богом и прославит Северную сторону!»
Лагеркранц Давид: Девушка, которая должна умереть;Давид Лагеркранц;88 ₽;88 ₽;Лисбет Саландер, великий хакер и неутомимый борец за справедливость, столько раз глядела в лицо смерти, что и сама уже не вспомнит. Столько раз она шла навстречу своей гибели, без страха и раздумий, – и всякий раз оставалась жива. Но в этот раз смерть сама решила прийти к ней. И она отнюдь не безлика – у нее лицо… родной сестры Лисбет. Камилла решила раз и навсегда покончить с той, кого она ненавидела всю свою жизнь. Она долго готовилась, копила силы и ненависть. Выжидала. И наконец дождалась. Лисбет Саландер должна умереть…
Хэйс Кэти: Затворники;Tok. Таро-триллер;614 ₽;614 ₽;МОМЕНТАЛЬНЫЙ БЕСТСЕЛЛЕР NEW YORK TIMES
Маккарти Эрин, Лав Кэти: Таинственная лама и криминальная драма;Эрин Маккарти;98 ₽;98 ₽;Ликёр, ложь и ламы в городе под названием Дружба... что может пойти не так?
Тунсю Мосян: Благословение небожителей. Том 4;Тунсю Мосян;1 250 ₽;1 250 ₽;ДВУМ ТИГРАМ НЕ УЖИТЬСЯ НА ОДНОЙ ГОРЕ.
Bobby Hall a.k.a. Logic: Супермаркет;Bobby Hall a.k.a. Logic;88 ₽;88 ₽;Психоделический триллер, полный черного юмора, «Супермаркет» исследует мир творчества и безумия, мата, секса, убийств и кислоты.
Анри Софи: Хранитель Ардена;Young Adult. Игры королей;711 ₽;711 ₽;Продолжение невероятного фэнтези-романа от российской писательницы Софи Анри — история королевства Арден и его Хранителя, Рэндалла, а также княжны Авроры, гордой северянки. Дворцовые интриги, любовь и ненависть, войны, скелеты в шкафу, семейные тайны и жуткие ритуалы.
Сандерсон Брендон: Локон с Изумрудного моря;Сандерсон Брендон;1 269 ₽;1 269 ₽;На планете, где в океанах не вода, а чрезвычайно опасные организмы, на острове посреди Изумрудного моря живет юноша, которому совсем не в радость его судьба — судьба единственного сына герцога, будущего наследника престола. И однажды Чарли приходится покинуть остров: отец увозит его на поиски знатной невесты, чтобы заключить выгодный династический брак. Прощаясь, Чарли обещает юной простолюдинке, в которую влюблен, вернуться и жениться именно на ней. Обещает — и не возвращается. Вместо него герцог привозит совсем другого юношу, своего дальнего родственника, которого и объявляет своим приемным сыном и наследником. Однако девушке все же удается выяснить, что Чарли был брошен в Полуночном море, самом опасном из двенадцати морей планеты. И теперь, чтобы отправиться к нему на выручку, мало нарушить строжайший запрет герцога покидать остров — необходимо изобрести способ его нарушить… С цветными иллюстрациями знаменитого фэнтезийного художника Говарда Лайона! Впервые на русском!
